tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.52,detenido,--,--,50,--
1.02,detenido,--,--,50,--
1.55,detenido,--,--,50,--
2.22,detenido,--,--,50,50
3.08,pista,--,recto,50,50
3.68,pista,--,recto,50,50
4.34,pista,--,recto,50,50
5.17,pista,--,recto,50,50
5.84,pista,--,recto,50,50
6.37,pista,--,perdida,50,50
7.09,pista,--,izquierda,50,50
7.81,pista,--,izquierda,50,50
8.36,pista,--,izquierda,50,50
8.96,pista,--,recto,50,50
9.74,pista,--,recto,50,50
10.34,pista,--,recto,50,50
10.87,pista,--,recto,50,50
11.48,pista,--,derecha,50,50
12.32,pista,--,derecha,50,50
12.92,pista,--,recto,50,50
13.58,pista,--,perdida,50,50
14.35,pista,--,perdida,50,50
14.9,pista,--,perdida,50,50
15.5,pista,--,perdida,50,50
16.03,pista,--,perdida,50,50
16.82,pista,--,perdida,50,50
17.41,pista,--,perdida,50,50
17.96,pista,--,perdida,50,50
18.49,pista,--,perdida,50,50
19.28,pista,--,perdida,50,50
19.87,pista,--,perdida,50,50
20.47,pista,--,perdida,50,50
21.08,pista,--,perdida,50,50
21.86,pista,--,perdida,50,50
22.46,pista,--,perdida,50,50
23.11,pista,--,perdida,50,50
23.83,pista,--,perdida,50,50
24.38,pista,--,perdida,50,50
24.98,pista,--,perdida,50,50
25.52,pista,--,perdida,50,50
26.42,pista,--,perdida,50,50
27.02,pista,--,perdida,50,50
27.61,pista,--,perdida,50,50
28.33,pista,--,perdida,50,50
29.0,pista,--,perdida,50,50
29.6,pista,--,perdida,50,50
30.13,pista,--,perdida,50,50
30.98,pista,--,perdida,50,50
31.52,pista,--,perdida,50,50
32.06,pista,--,perdida,50,50
32.71,pista,--,perdida,50,50
33.43,pista,--,perdida,50,50
34.09,pista,--,perdida,50,50
34.69,pista,--,perdida,50,50
35.24,pista,--,perdida,50,50
36.01,pista,--,perdida,50,50
36.62,pista,--,perdida,50,50
37.22,pista,--,perdida,50,50
37.75,pista,--,perdida,50,50
38.6,pista,--,perdida,50,50
39.13,pista,--,perdida,50,50
39.68,pista,--,perdida,50,50
40.27,pista,--,perdida,50,50
40.99,pista,--,perdida,50,50
41.65,pista,--,perdida,50,50
42.25,pista,--,perdida,50,50
42.86,pista,--,perdida,50,50
43.69,pista,--,perdida,50,50
44.3,pista,--,perdida,50,50
44.89,pista,--,perdida,50,50
45.74,pista,--,perdida,50,50
46.27,pista,--,perdida,50,50
46.81,pista,--,perdida,50,50
47.41,pista,--,perdida,50,50
48.37,pista,--,perdida,50,50
48.92,pista,--,perdida,50,50
49.46,pista,--,perdida,50,50
50.24,pista,--,perdida,50,50
50.77,pista,--,perdida,50,50
51.38,pista,--,perdida,50,50
51.97,pista,--,perdida,50,50
52.82,pista,--,perdida,50,50
53.36,pista,--,perdida,50,50
54.01,pista,--,perdida,50,50
54.85,pista,--,perdida,50,50
55.45,pista,--,perdida,50,50
55.99,pista,--,perdida,50,50
56.54,pista,--,perdida,50,50
57.31,pista,--,perdida,50,50
57.86,pista,--,perdida,50,50
58.39,pista,--,perdida,50,50
58.94,pista,--,perdida,50,50
59.78,pista,--,perdida,50,50
60.37,pista,--,perdida,50,50
60.92,pista,--,perdida,50,50
61.58,pista,--,perdida,50,50
62.36,pista,--,perdida,50,50
62.95,pista,--,perdida,50,50
63.61,pista,--,perdida,50,50
64.39,pista,--,perdida,50,50
65.0,pista,--,perdida,50,50
65.54,pista,--,perdida,50,50
66.08,pista,--,perdida,50,50
66.97,pista,--,perdida,50,50
67.52,pista,--,perdida,50,50
68.05,pista,--,perdida,50,50
68.66,pista,--,perdida,50,50
69.44,pista,--,perdida,50,50
70.04,pista,--,perdida,50,50
70.57,pista,--,perdida,50,50
71.17,pista,--,perdida,50,50
71.89,pista,--,perdida,50,50
72.44,pista,--,perdida,50,50
73.1,pista,--,perdida,50,50
73.63,pista,--,perdida,50,50
74.36,pista,--,perdida,50,50
74.96,pista,--,perdida,50,50
75.5,pista,--,perdida,50,50
76.1,pista,--,perdida,50,50
76.88,pista,--,perdida,50,50
77.47,pista,--,perdida,50,50
